Modification,Perplexity_mean,Time_mean
"{'run_mode': 'prune', 'config': 'config.json', 'base_model': 'vinai/PhoGPT-4B-Chat', 'output': 'pruning_results.csv', 'instructive_prompt': False, 'measure_time': True, 'output_console': True, 'bnb': 'none', 'load_peft_path': None, 'model_path': '', 'dataset_path': '', 'block_size': 1024, 'precision': 'fp16', 'eval_after_train': None, 'save_full_model': None, 'save_path': './trained_model', 'benchmark': 'perplexity-dataset-oscarvi', 'repeat': 1, 'eval_base': True, 'pruning_method': 'xconsecutive', 'pruning_rate': [], 'pruning_layer_num': [1, 2, 3, 4, 6], 'pruning_target': '', 'pruning_data': 'c4', 'pruning_n_samples': 1000, 'pruning_rand_data': None, 'pruning_batch_size': 32, 'pruning_avg': None, 'pruning_mag_norm': 'l1', 'pruning_grad_T_order': 1}",,
Removed 25 to 26,47.12713623046875,0.29922938346862793
Removed 26 to 27,51.6319580078125,0.29886531829833984
Removed 27 to 28,51.59552001953125,0.30113887786865234
Removed 28 to 29,47.08428955078125,0.30336713790893555
Removed 29 to 30,73.89202880859375,0.298978328704834
Removed 30 to 31,177.6041259765625,0.2978947162628174
Removed 0 to 2,nan,0.2654290199279785
Removed 1 to 3,198.58642578125,0.29013872146606445
Removed 2 to 4,91.7208251953125,0.28908753395080566
Removed 3 to 5,78.8607177734375,0.29174327850341797
Removed 4 to 6,72.552978515625,0.2938356399536133
Removed 5 to 7,67.674072265625,0.291088342666626
Removed 6 to 8,74.745849609375,0.2889678478240967
Removed 7 to 9,75.9459228515625,0.2917025089263916
Removed 8 to 10,52.78533935546875,0.29501938819885254
Removed 9 to 11,55.2015380859375,0.2900364398956299
Removed 10 to 12,60.3494873046875,0.29173922538757324
Removed 11 to 13,54.6273193359375,0.292280912399292
Removed 12 to 14,52.22601318359375,0.29300975799560547
Removed 13 to 15,66.967041015625,0.2955176830291748
Removed 14 to 16,60.33978271484375,0.29346489906311035
Removed 15 to 17,60.278076171875,0.2977933883666992
Removed 16 to 18,47.484130859375,0.2962353229522705
Removed 17 to 19,48.82989501953125,0.29430603981018066
Removed 18 to 20,56.3331298828125,0.29438328742980957
Removed 19 to 21,59.6363525390625,0.29242420196533203
Removed 20 to 22,52.50665283203125,0.2949833869934082
Removed 21 to 23,55.9425048828125,0.2973628044128418
Removed 22 to 24,59.49273681640625,0.28998231887817383
Removed 23 to 25,63.88946533203125,0.2933225631713867
Removed 24 to 26,61.81964111328125,0.2912447452545166
Removed 25 to 27,58.73443603515625,0.2904229164123535
Removed 26 to 28,62.15167236328125,0.2917933464050293
Removed 27 to 29,55.9595947265625,0.29366087913513184
Removed 28 to 30,177.682861328125,0.2928586006164551
Removed 29 to 31,314.5538330078125,0.29201745986938477
Removed 0 to 3,nan,0.2609069347381592
Removed 1 to 4,1353.20703125,0.28263211250305176
Removed 2 to 5,150.2083740234375,0.28392958641052246
Removed 3 to 6,471.2841796875,0.2805600166320801
Removed 4 to 7,203.791015625,0.2808976173400879
Removed 5 to 8,119.543212890625,0.28702235221862793
Removed 6 to 9,114.5032958984375,0.2839343547821045
Removed 7 to 10,83.3743896484375,0.2809484004974365
Removed 8 to 11,69.176513671875,0.2833549976348877
Removed 9 to 12,65.5587158203125,0.2853274345397949
Removed 10 to 13,67.887939453125,0.2848775386810303
Removed 11 to 14,62.577880859375,0.28340816497802734
Removed 12 to 15,91.147705078125,0.28487253189086914
Removed 13 to 16,72.1922607421875,0.28582000732421875
Removed 14 to 17,80.0867919921875,0.2832300662994385
Removed 15 to 18,69.9588623046875,0.28591132164001465
Removed 16 to 19,61.917236328125,0.2824892997741699
Removed 17 to 20,60.75347900390625,0.28342223167419434
Removed 18 to 21,70.0068359375,0.2843911647796631
Removed 19 to 22,64.91705322265625,0.2852749824523926
Removed 20 to 23,63.50018310546875,0.2827749252319336
Removed 21 to 24,75.0838623046875,0.28584909439086914
Removed 22 to 25,74.8662109375,0.2810792922973633
Removed 23 to 26,110.895263671875,0.28572750091552734
Removed 24 to 27,98.8126220703125,0.2837657928466797
Removed 25 to 28,84.9161376953125,0.2854123115539551
Removed 26 to 29,66.1434326171875,0.2809267044067383
Removed 27 to 30,inf,0.28302955627441406
Removed 28 to 31,589.5438232421875,0.28420066833496094
Removed 0 to 5,nan,0.2572743892669678
Removed 1 to 6,4219.966796875,0.2605564594268799
Removed 2 to 7,2084.4892578125,0.2640359401702881
Removed 3 to 8,1310.447265625,0.26161956787109375
Removed 4 to 9,894.8583984375,0.26389360427856445
Removed 5 to 10,248.295166015625,0.2652430534362793
Removed 6 to 11,264.7421875,0.26448845863342285
Removed 7 to 12,162.0784912109375,0.26380395889282227
Removed 8 to 13,126.092041015625,0.262972354888916
Removed 9 to 14,124.3277587890625,0.2631950378417969
Removed 10 to 15,181.217041015625,0.26204943656921387
Removed 11 to 16,170.328369140625,0.2639036178588867
Removed 12 to 17,116.4281005859375,0.26601123809814453
Removed 13 to 18,94.6568603515625,0.26479053497314453
Removed 14 to 19,92.000244140625,0.2659461498260498
Removed 15 to 20,383.1461181640625,0.2652578353881836
Removed 16 to 21,110.0780029296875,0.26281070709228516
Removed 17 to 22,97.5943603515625,0.2660360336303711
Removed 18 to 23,115.91815185546875,0.2671020030975342
Removed 19 to 24,183.78411865234375,0.26335906982421875
Removed 20 to 25,156.8333740234375,0.26354122161865234
Removed 21 to 26,222.129638671875,0.2629697322845459
Removed 22 to 27,248.2852783203125,0.26242828369140625
Removed 23 to 28,209.330810546875,0.2648797035217285
Removed 24 to 29,146.29443359375,0.26340174674987793
Removed 25 to 30,inf,0.26242566108703613
Removed 26 to 31,768.88232421875,0.2661914825439453
Modification,Perplexity_mean,Time_mean
