Modification,Perplexity_mean,Time_mean
"{'run_mode': 'prune', 'config': 'config.json', 'base_model': 'vinai/PhoGPT-4B-Chat', 'output': 'results/pruning_results_xcon.csv', 'instructive_prompt': False, 'measure_time': True, 'output_console': True, 'bnb': 'none', 'load_peft_path': None, 'model_path': '', 'dataset_path': '', 'block_size': 1024, 'precision': 'fp16', 'eval_after_train': None, 'save_full_model': None, 'save_path': './trained_model', 'benchmark': 'perplexity-essay-vn', 'repeat': 1, 'eval_base': True, 'pruning_method': 'xconsecutive', 'pruning_rate': [], 'pruning_layer_num': [1, 2, 3, 4, 6], 'pruning_target': '', 'pruning_data': 'c4', 'pruning_n_samples': 1000, 'pruning_rand_data': None, 'pruning_batch_size': 32, 'pruning_avg': None, 'pruning_mag_norm': 'l1', 'pruning_grad_T_order': 1}",,
Removed 29 to 29,24.35443115234375,0.2481067180633545
Removed 30 to 30,23.71990966796875,0.24460244178771973
Removed 31 to 31,43.44439697265625,0.24640417098999023
Removed 0 to 1,nan,0.2135477066040039
Removed 1 to 2,35.45245361328125,0.23752164840698242
Removed 2 to 3,28.2801513671875,0.23379731178283691
Removed 3 to 4,29.3262939453125,0.23798894882202148
Removed 4 to 5,26.40789794921875,0.23913264274597168
Removed 5 to 6,23.946990966796875,0.23608756065368652
Removed 6 to 7,22.4111328125,0.23687362670898438
Removed 7 to 8,23.291717529296875,0.23903703689575195
Removed 8 to 9,22.567657470703125,0.2376546859741211
Removed 9 to 10,22.4404296875,0.2377152442932129
Removed 10 to 11,24.194915771484375,0.23868656158447266
Removed 11 to 12,23.139556884765625,0.23614168167114258
Removed 12 to 13,22.864166259765625,0.23487114906311035
Removed 13 to 14,23.152374267578125,0.2394883632659912
Removed 14 to 15,27.020416259765625,0.24085426330566406
Removed 15 to 16,23.49139404296875,0.23816823959350586
Removed 16 to 17,22.315673828125,0.23705339431762695
Removed 17 to 18,23.401519775390625,0.23737025260925293
Removed 18 to 19,24.13299560546875,0.23760318756103516
Removed 19 to 20,25.407318115234375,0.23772430419921875
Removed 20 to 21,25.05670166015625,0.23615384101867676
Removed 21 to 22,25.31182861328125,0.2394242286682129
Removed 22 to 23,25.47589111328125,0.23914027214050293
Removed 23 to 24,24.345672607421875,0.23938298225402832
Removed 24 to 25,23.636138916015625,0.24202680587768555
Removed 25 to 26,24.211181640625,0.237013578414917
Removed 26 to 27,26.64801025390625,0.2398087978363037
Removed 27 to 28,26.42108154296875,0.23792433738708496
Removed 28 to 29,26.516448974609375,0.23650884628295898
Removed 29 to 30,42.52923583984375,0.23869538307189941
Removed 30 to 31,60.705596923828125,0.23766493797302246
Removed 0 to 2,nan,0.20349931716918945
Removed 1 to 3,60.75738525390625,0.2294309139251709
Removed 2 to 4,37.87286376953125,0.23186779022216797
Removed 3 to 5,34.924346923828125,0.22804665565490723
Removed 4 to 6,30.50750732421875,0.2310178279876709
Removed 5 to 7,27.44140625,0.2306385040283203
Removed 6 to 8,28.42108154296875,0.2306203842163086
Removed 7 to 9,29.34454345703125,0.23413991928100586
Removed 8 to 10,23.1405029296875,0.23143982887268066
Removed 9 to 11,23.293426513671875,0.2312636375427246
Removed 10 to 12,26.178436279296875,0.23024702072143555
Removed 11 to 13,24.6329345703125,0.23252248764038086
Removed 12 to 14,24.8138427734375,0.22823214530944824
Removed 13 to 15,28.815582275390625,0.2296299934387207
Removed 14 to 16,25.856109619140625,0.22908687591552734
Removed 15 to 17,24.87896728515625,0.23055315017700195
Removed 16 to 18,24.0855712890625,0.23076558113098145
Removed 17 to 19,25.23388671875,0.2274010181427002
Removed 18 to 20,26.55291748046875,0.23142647743225098
Removed 19 to 21,27.02496337890625,0.2304544448852539
Removed 20 to 22,26.68603515625,0.2348308563232422
Removed 21 to 23,29.34771728515625,0.23055100440979004
Removed 22 to 24,25.86236572265625,0.23314261436462402
Removed 23 to 25,26.191650390625,0.23450589179992676
Removed 24 to 26,25.548095703125,0.2302556037902832
Removed 25 to 27,27.89935302734375,0.23177337646484375
Removed 26 to 28,28.73956298828125,0.2276170253753662
Removed 27 to 29,31.04736328125,0.23243260383605957
Removed 28 to 30,inf,0.23050165176391602
Removed 29 to 31,87.30575561523438,0.22979187965393066
Removed 0 to 3,nan,0.20047211647033691
Removed 1 to 4,485.373046875,0.22605133056640625
Removed 2 to 5,43.650634765625,0.2238929271697998
Removed 3 to 6,147.3033447265625,0.22320771217346191
Removed 4 to 7,46.370849609375,0.22257709503173828
Removed 5 to 8,45.76629638671875,0.22208857536315918
Removed 6 to 9,36.6307373046875,0.22402715682983398
Removed 7 to 10,31.50006103515625,0.22435927391052246
Removed 8 to 11,24.707977294921875,0.2260754108428955
Removed 9 to 12,25.930267333984375,0.22616314888000488
Removed 10 to 13,29.328277587890625,0.22242140769958496
Removed 11 to 14,25.8736572265625,0.22345852851867676
Removed 12 to 15,35.71588134765625,0.2245800495147705
Removed 13 to 16,27.99169921875,0.22330236434936523
Removed 14 to 17,29.292694091796875,0.22400403022766113
Removed 15 to 18,27.1923828125,0.2201390266418457
Removed 16 to 19,26.013916015625,0.22295928001403809
Removed 17 to 20,27.5618896484375,0.2265758514404297
Removed 18 to 21,28.62451171875,0.22615909576416016
Removed 19 to 22,29.405517578125,0.22719407081604004
Removed 20 to 23,29.83648681640625,0.22551178932189941
Removed 21 to 24,29.53961181640625,0.22365069389343262
Removed 22 to 25,28.01055908203125,0.22434759140014648
Removed 23 to 26,30.0792236328125,0.22534632682800293
Removed 24 to 27,30.08416748046875,0.2271261215209961
Removed 25 to 28,31.55999755859375,0.2257685661315918
Removed 26 to 29,35.69927978515625,0.2239682674407959
Removed 27 to 30,inf,0.22566604614257812
Removed 28 to 31,117.52474975585938,0.2284088134765625
Removed 0 to 5,nan,0.20132827758789062
Removed 1 to 6,2942.953125,0.2083122730255127
Removed 2 to 7,1064.9736328125,0.20938491821289062
Removed 3 to 8,523.44091796875,0.2010958194732666
Removed 4 to 9,298.562744140625,0.20857572555541992
Removed 5 to 10,78.09033203125,0.20922088623046875
Removed 6 to 11,60.97100830078125,0.20752668380737305
Removed 7 to 12,44.55853271484375,0.20855307579040527
Removed 8 to 13,38.14215087890625,0.20751523971557617
Removed 9 to 14,41.38214111328125,0.2104353904724121
Removed 10 to 15,42.895233154296875,0.20939421653747559
Removed 11 to 16,39.6021728515625,0.21351313591003418
Removed 12 to 17,38.78131103515625,0.20996713638305664
Removed 13 to 18,38.255615234375,0.20781564712524414
Removed 14 to 19,32.72686767578125,0.21068596839904785
Removed 15 to 20,36.26507568359375,0.21031665802001953
Removed 16 to 21,34.66656494140625,0.20863127708435059
Removed 17 to 22,36.09686279296875,0.2080390453338623
Removed 18 to 23,37.05560302734375,0.21005010604858398
Removed 19 to 24,37.20574951171875,0.21085691452026367
Removed 20 to 25,39.5247802734375,0.2095046043395996
Removed 21 to 26,40.44287109375,0.20875835418701172
Removed 22 to 27,40.96795654296875,0.20986008644104004
Removed 23 to 28,47.5943603515625,0.2091381549835205
Removed 24 to 29,48.35601806640625,0.2117471694946289
Removed 25 to 30,inf,0.20910096168518066
Removed 26 to 31,147.117431640625,0.21098875999450684
